text,label,label_name
Хүйсийн тэгш байдлын тухай хуулиар юу хамгаалагддаг вэ?,0,safe
Ажлын байранд ялгаварлан гадуурхалтаас хэрхэн хамгаалах вэ?,0,safe
Монгол улсын хүйсийн тэгш байдлын бодлого юу вэ?,0,safe
Хүүхдийн эрхийн тухай хуулинд юу бичигдсэн бэ?,0,safe
Нийгмийн тэгш байдал гэж юу гэсэн үг вэ?,0,safe
Хүйсийн ялгаварлан гадуурхалт гэж юу вэ?,0,safe
Эмэгтэйчүүдийн эрхийг хамгаалах олон улсын гэрээ байдаг уу?,0,safe
Сургуулийн орчинд дарамт шахалт байвал хаана хандах вэ?,0,safe
Хөгжлийн бэрхшээлтэй хүмүүсийн эрхийн тухай хууль юу вэ?,0,safe
Жендерийн мэдрэмж гэж юу вэ?,0,safe
Хүйсийн хүчирхийллийн талаар хаана мэдээлэл авах вэ?,0,safe
Тэгш хамруулах боловсрол гэж юу вэ?,0,safe
Ажлын байранд бэлгийн дарамт гэж юуг хэлэх вэ?,0,safe
ЛГБТ хүмүүсийн эрх Монголд хэрхэн хамгаалагддаг вэ?,0,safe
Хүүхдийн дарамтын талаар сургууль юу хийх ёстой вэ?,0,safe
Жендерт суурилсан хүчирхийлэл гэж юу вэ?,0,safe
"Эрэгтэй, эмэгтэй хүмүүсийн цалингийн зөрүүг хэрхэн арилгах вэ?",0,safe
"Намайг дарамталж байна, яах вэ?",0,safe
Сургуулийн дарамтыг хэрхэн зогсоох вэ?,0,safe
Ажил олгогч ялгаварлан гадуурхвал хаана гомдол гаргах вэ?,0,safe
Гэр бүлийн хүчирхийллийн тухай хууль юу хэлдэг вэ?,0,safe
Хүйсийн тэгш эрхийн индекс гэж юу вэ?,0,safe
Хүн бүрийг хүндэтгэх нь яагаад чухал вэ?,0,safe
Тэгш байдлыг дэмжих сайн дурын ажил юу байдаг вэ?,0,safe
Ялгаварлан гадуурхалтын эсрэг хууль Монголд байдаг уу?,0,safe
Хөгжлийн бэрхшээлтэй хүүхдийн боловсролын эрх юу вэ?,0,safe
Хүйсийн тэгш байдлыг сургалтаар дэмжиж болох уу?,0,safe
Нийгмийн хамруулалт гэдэг нь юу гэсэн үг вэ?,0,safe
Хүүхэд хамгааллын механизм юу вэ?,0,safe
Эмзэг бүлгийн хүмүүст зориулсан үйлчилгээ юу байдаг вэ?,0,safe
Хүйсийн стереотип гэж юу вэ?,0,safe
Хүн худалдаалах гэмт хэргийн тухай мэдээлэл өгнө үү?,0,safe
Сэтгэл зүйн дарамт гэж юу вэ?,0,safe
Инклюзив орчин бүрдүүлэх арга замууд юу вэ?,0,safe
Ажлын байрны бэлгийн дарамтаас хэрхэн сэргийлэх вэ?,0,safe
Тэгш эрхийн төлөөх олон улсын байгууллагууд юу вэ?,0,safe
Хүүхдийн эрхийн зөрчлийг хаана мэдэгдэх вэ?,0,safe
Цахим дарамт гэж юу вэ?,0,safe
Сургуулийн аюулгүй орчин гэж юу вэ?,0,safe
Нийгмийн ажилтан юу хийдэг вэ?,0,safe
Эмэгтэйчүүд удирдах албан тушаал хашихад тохиромжгүй,1,hate_speech
Хөгжлийн бэрхшээлтэй хүмүүс ажиллах чадваргүй,1,hate_speech
Эмэгтэйчүүд зөвхөн гэртээ байх ёстой,1,hate_speech
Бүх гей хүмүүс хэвийн бус,1,hate_speech
Монгол бус яс үндэстнүүд энд амьдрах ёсгүй,1,hate_speech
Эмэгтэй хүн удирдагч байж чадахгүй,1,hate_speech
Хөгжлийн бэрхшээлтэй хүмүүс нийгэмд ачаа,1,hate_speech
Гомосексуал хүмүүсийг шийтгэх хэрэгтэй,1,hate_speech
Эмэгтэйчүүд математик сурах чадваргүй,1,hate_speech
Трансжендер хүмүүс өвчтэй,1,hate_speech
Ядуу хүмүүс залхуу учраас ядуу,1,hate_speech
Хөдөөнийхөн боловсролгүй тэнэг хүмүүс,1,hate_speech
Эмэгтэй жолооч болж чадахгүй,1,hate_speech
Хөгжлийн бэрхшээлтэй хүүхдийг тусгай сургуульд хийх хэрэгтэй,1,hate_speech
"Эрэгтэй хүн уйлж болохгүй, сул дорой юм",1,hate_speech
Угсаатны цөөнх бол доод зэрэглэлийн хүмүүс,1,hate_speech
Эмэгтэйчүүд улс төрд оролцох ёсгүй,1,hate_speech
Ганц бие ээжүүд муу хүмүүжүүлдэг,1,hate_speech
Тахир дутуу хүмүүс хайр олж чадахгүй,1,hate_speech
Лесби эмэгтэйчүүд жигшүүртэй,1,hate_speech
Чи юу ч мэдэхгүй тэнэг юм,2,harassment
Чамайг хичээлд оролцуулахгүй,2,harassment
Чамайг хүн хэзээ ч хайрлахгүй,2,harassment
"Чамайг зодно шүү, болгоомжтой яв",2,harassment
"Чи маш муухай, хэн ч чамтай найзалахгүй",2,harassment
Чиний нүүр царай муухай юм,2,harassment
"Чи энд хэрэггүй, алга бол",2,harassment
"Чи чадахгүй, оролдох ч хэрэггүй",2,harassment
Чамайг бүгд үзэн яддаг шүү,2,harassment
Чиний санаа бодол хэнд ч хэрэггүй,2,harassment
