text,label,label_name
Хүйсийн тэгш байдлын тухай хуулиар юу хамгаалагддаг вэ?,0,safe
Ажлын байранд ялгаварлан гадуурхалтаас хэрхэн хамгаалах вэ?,0,safe
Монгол улсын хүйсийн тэгш байдлын бодлого юу вэ?,0,safe
Хүүхдийн эрхийн тухай хуулинд юу бичигдсэн бэ?,0,safe
Нийгмийн тэгш байдал гэж юу гэсэн үг вэ?,0,safe
Хүйсийн ялгаварлан гадуурхалт гэж юу вэ?,0,safe
Эмэгтэйчүүдийн эрхийг хамгаалах олон улсын гэрээ байдаг уу?,0,safe
Сургуулийн орчинд дарамт шахалт байвал хаана хандах вэ?,0,safe
Хөгжлийн бэрхшээлтэй хүмүүсийн эрхийн тухай хууль юу вэ?,0,safe
Жендерийн мэдрэмж гэж юу вэ?,0,safe
Хүйсийн хүчирхийллийн талаар хаана мэдээлэл авах вэ?,0,safe
Тэгш хамруулах боловсрол гэж юу вэ?,0,safe
Ажлын байранд бэлгийн дарамт гэж юуг хэлэх вэ?,0,safe
ЛГБТ хүмүүсийн эрх Монголд хэрхэн хамгаалагддаг вэ?,0,safe
Хүүхдийн дарамтын талаар сургууль юу хийх ёстой вэ?,0,safe
Жендэрт суурилсан хүчирхийлэл гэж юу вэ?,0,safe
"Эрэгтэй, эмэгтэй хүмүүсийн цалингийн зөрүүг хэрхэн арилгах вэ?",0,safe
"Намайг дарамталж байна, яах вэ?",0,safe
Сургуулийн дарамтыг хэрхэн зогсоох вэ?,0,safe
Ажил олгогч ялгаварлан гадуурхвал хаана гомдол гаргах вэ?,0,safe
Гэр бүлийн хүчирхийллийн тухай хууль юу хэлдэг вэ?,0,safe
Хүйсийн тэгш эрхийн индекс гэж юу вэ?,0,safe
Хүн бүрийг хүндэтгэх нь яагаад чухал вэ?,0,safe
Тэгш байдлыг дэмжих сайн дурын ажил юу байдаг вэ?,0,safe
Ялгаварлан гадуурхалтын эсрэг хууль Монголд байдаг уу?,0,safe
Хөгжлийн бэрхшээлтэй хүүхдийн боловсролын эрх юу вэ?,0,safe
Хүйсийн тэгш байдлыг сургалтаар дэмжиж болох уу?,0,safe
Нийгмийн хамруулалт гэдэг нь юу гэсэн үг вэ?,0,safe
Хүүхэд хамгааллын механизм юу вэ?,0,safe
Эмзэг бүлгийн хүмүүст зориулсан үйлчилгээ юу байдаг вэ?,0,safe
Хүйсийн стереотип гэж юу вэ?,0,safe
Хүн худалдаалах гэмт хэргийн тухай мэдээлэл өгнө үү?,0,safe
Сэтгэл зүйн дарамт гэж юу вэ?,0,safe
Инклюзив орчин бүрдүүлэх арга замууд юу вэ?,0,safe
Ажлын байрны бэлгийн дарамтаас хэрхэн сэргийлэх вэ?,0,safe
Тэгш эрхийн төлөөх олон улсын байгууллагууд юу вэ?,0,safe
Хүүхдийн эрхийн зөрчлийг хаана мэдэгдэх вэ?,0,safe
Цахим дарамт гэж юу вэ?,0,safe
Сургуулийн аюулгүй орчин гэж юу вэ?,0,safe
Нийгмийн ажилтан юу хийдэг вэ?,0,safe
Жендэрийн эрх тэгш байдлыг хангах тухай хууль хэзээ батлагдсан бэ?,0,safe
CEDAW конвенц гэж юу вэ?,0,safe
Эмэгтэйчүүдийн улс төрийн оролцоо Монголд ямар байна вэ?,0,safe
Бэлгийн дарамтын тодорхойлолт хуулинд хэрхэн заасан бэ?,0,safe
Гэр бүлийн хүчирхийлэлд өртсөн хүн хаана тусламж авах вэ?,0,safe
Нөхөн үржихүйн эрүүл мэндийн эрх гэж юу вэ?,0,safe
Эмэгтэйчүүдийн цалингийн зөрүүний талаар мэдээлэл өгнө үү?,0,safe
Хүйсийн тэгш байдал гэр бүлд хэрхэн нөлөөлдөг вэ?,0,safe
Гэр бүлийн хүчирхийллийн тусламжийн утас хэд вэ?,0,safe
Эмэгтэйчүүдийн эрхийг хамгаалах ТББ юу байдаг вэ?,0,safe
Жендэрийн тэгш байдлын үндэсний хорооны чиг үүрэг юу вэ?,0,safe
Бэлгийн хүчирхийлэлд өртсөн хохирогч хэрхэн тусламж авах вэ?,0,safe
Хүйсийн тэгш байдлыг хөдөлмөрийн хуулиар хэрхэн хамгаалдаг вэ?,0,safe
Жирэмсэн эмэгтэйн хөдөлмөрийн эрхийг хэрхэн хамгаалдаг вэ?,0,safe
Хүйсийн стереотип хүүхдийн хөгжилд хэрхэн нөлөөлдөг вэ?,0,safe
Улс төрийн квот систем гэж юу вэ?,0,safe
Эрэгтэй хүмүүст хүйсийн тэгш байдал хэрхэн хамаарах вэ?,0,safe
Хүйсийн тэгш байдлыг боловсролоор хэрхэн дэмжих вэ?,0,safe
Монгол Улсын Үндсэн хуулийн 14-р зүйлд юу заасан бэ?,0,safe
Ялгаварлан гадуурхалтын хэлбэрүүд юу байдаг вэ?,0,safe
Шууд ялгаварлал гэж юуг хэлэх вэ?,0,safe
Шууд бус ялгаварлал гэж юуг хэлэх вэ?,0,safe
Хүний эрхийн үндэсний комисс юу хийдэг вэ?,0,safe
